ID_FILA,ID_EVENTO,CAMPO,FLUIDO,PAD_HIJO,HIJO,ETAPA_HIJO,PADRE,D3D,D2D,DZ,AZ,#_BARRERAS,LINEAMIENTO,WHP_i,ESTADO
26179,Pozo 27-Pozo 54-38,Campo B,OIL,PAD-13,Pozo 27,38,Pozo 54,"1583,88765604514","1583,66685325096","-26,4462641286172","143,640740798271",1,NO,"-0,3",Cerrado
26180,Pozo 29-Pozo 54-39,Campo B,OIL,PAD-13,Pozo 29,39,Pozo 54,"1477,04069824078","1476,93067008705","18,0283115076863","147,363304883971",1,NO,"-0,3",Cerrado
26181,Pozo 27-Pozo 54-41,Campo B,OIL,PAD-13,Pozo 27,41,Pozo 54,"1445,96318312391","1445,75039944171","-24,8054321466424","139,270555436343",1,NO,"-0,3",Cerrado
26182,Pozo 555-Pozo 69-4,Campo E,OIL,PAD-85,Pozo 555,4,Pozo 69,"672,288788400604","672,248439433554","7,36550665623372","232,229746524127",0,NO,"-0,3",Cerrado
26183,Pozo 555-Pozo 69-5,Campo E,OIL,PAD-85,Pozo 555,5,Pozo 69,"642,817439643753","642,776547895096","7,25053006430698","236,785608955493",0,NO,"-0,3",Cerrado
26184,Pozo 555-Pozo 69-6,Campo E,OIL,PAD-85,Pozo 555,6,Pozo 69,"616,040814261675","615,99772571428","7,28606553785994","241,672900454152",1,NO,"-0,2",Cerrado
26185,Pozo 557-Pozo 69-6,Campo E,OIL,PAD-85,Pozo 557,6,Pozo 69,"896,154109595307","896,15310459869","-1,34211127957223","249,274249053984",1,NO,"-0,2",Cerrado
26186,Pozo 555-Pozo 69-7,Campo E,OIL,PAD-85,Pozo 555,7,Pozo 69,"591,968935864476","591,901478839947","8,93646326035332","246,886299385718",1,NO,"-0,2",Cerrado
26187,Pozo 132-Pozo 112-15,Campo C,GAS,PAD-19,Pozo 132,15,Pozo 112,"793,430283811497","793,204208837293","18,9393334623318","341,872266188109",0,NO,"-0,1",Abierto
26188,Pozo 133-Pozo 112-16,Campo C,GAS,PAD-19,Pozo 133,16,Pozo 112,"1237,94744537321","1237,9223279948","-7,88589614501643","344,911450398286",1,NO,"-0,1",Abierto
26189,Pozo 405-Pozo 11-3,Campo F,OIL,PAD-60,Pozo 405,3,Pozo 11,"457,010811305425","452,844038555059","61,572383380756","269,251612185453",1,NO,"-0,1",Cerrado
26190,Pozo 408-Pozo 11-8,Campo F,OIL,PAD-60,Pozo 408,8,Pozo 11,"1107,47697357681","1107,15578337632","26,6705519105576","310,021844086661",1,NO,"-0,1",Cerrado
26191,Pozo 405-Pozo 241-19,Campo F,OIL,PAD-60,Pozo 405,19,Pozo 241,"924,605015247342","924,50040469136","-13,9081251809557","91,1976761191693",2,NO,"-0,1",Cerrado
26192,Pozo 408-Pozo 241-9,Campo F,OIL,PAD-60,Pozo 408,9,Pozo 241,"513,913395937338","511,809818531876","-46,4509222536598","97,8646748666279",1,NO,"-0,1",Cerrado
26193,Pozo 405-Pozo 241-29,Campo F,OIL,PAD-60,Pozo 405,29,Pozo 241,"932,781447239546","932,461251496384","-24,4385509410713","89,3970526131732",2,NO,"-0,1",Cerrado
26194,Pozo 407-Pozo 241-27,Campo F,OIL,PAD-60,Pozo 407,27,Pozo 241,"636,804719093674","636,483689954886","-20,2178802396474","92,3679907487917",2,NO,"-0,1",Cerrado
26195,Pozo 406-Pozo 241-11,Campo F,OIL,PAD-60,Pozo 406,11,Pozo 241,"795,895798815119","794,077329287661","-53,770974353561","91,2540434138471",2,NO,"-0,1",Cerrado
26196,Pozo 405-Pozo 241-30,Campo F,OIL,PAD-60,Pozo 405,30,Pozo 241,"930,293800239885","929,940314255982","-25,6430631214561","85,5242815779988",2,NO,"-0,1",Cerrado
26197,Pozo 405-Pozo 241-35,Campo F,OIL,PAD-60,Pozo 405,35,Pozo 241,"924,788971381954","924,349479153206","-28,5075775696404","85,8164947231248",2,NO,"-0,1",Cerrado
26198,Pozo 405-Pozo 241-36,Campo F,OIL,PAD-60,Pozo 405,36,Pozo 241,"931,807608273471","931,39028682184","-27,884627489996","86,9001254534062",2,NO,"-0,1",Cerrado
26199,Pozo 405-Pozo 241-38,Campo F,OIL,PAD-60,Pozo 405,38,Pozo 241,"944,947825295257","944,609006671833","-25,3025106400436","91,600390211588",2,NO,"-0,1",Cerrado
26200,Pozo 407-Pozo 241-38,Campo F,OIL,PAD-60,Pozo 407,38,Pozo 241,"649,817239227707","649,450637341568","-21,8246203666803","95,3640091149199",2,NO,"-0,1",Cerrado
26201,Pozo 121-Pozo 112-12,Campo C,GAS,PAD-19,Pozo 121,12,Pozo 112,"1220,76356384338","1220,75932860922","3,21565252135769","355,203435832931",0,NO,0,Abierto
26202,Pozo 122-Pozo 112-12,Campo C,GAS,PAD-19,Pozo 122,12,Pozo 112,"1442,52786057149","1442,52710175178","1,47960689952651","336,890205473774",1,NO,0,Abierto
26203,Pozo 122-Pozo 112-13,Campo C,GAS,PAD-19,Pozo 122,13,Pozo 112,"1365,35419698603","1365,35025526679","3,28080329447266","336,125739541127",1,NO,0,Abierto
26204,Pozo 121-Pozo 112-19,Campo C,GAS,PAD-19,Pozo 121,19,Pozo 112,"668,266076787472","668,058043435025","-16,6733316012678","356,191273761093",0,NO,0,Abierto
26205,Pozo 122-Pozo 112-15,Campo C,GAS,PAD-19,Pozo 122,15,Pozo 112,"1212,14003587336","1212,10357118072","9,40209008862893","334,448902637219",1,NO,0,Abierto
26206,Pozo 121-Pozo 112-23,Campo C,GAS,PAD-19,Pozo 121,23,Pozo 112,"354,813148522261","354,719048369243","-8,1711130391277","359,252532893549",0,NO,0,Abierto
26207,Pozo 132-Pozo 112-7,Campo C,GAS,PAD-19,Pozo 132,7,Pozo 112,"1419,55792981903","1419,55451651091","3,1129994488233","346,243907736934",0,NO,0,Abierto
26208,Pozo 132-Pozo 112-12,Campo C,GAS,PAD-19,Pozo 132,12,Pozo 112,"1027,09459759111","1027,02428153863","12,0182166281888","344,271799596459",0,NO,0,Abierto
26209,Pozo 132-Pozo 112-17,Campo C,GAS,PAD-19,Pozo 132,17,Pozo 112,"638,737075538782","638,411293579061","20,397840536335","339,362309946109",0,NO,0,Abierto
26210,Pozo 132-Pozo 112-19,Campo C,GAS,PAD-19,Pozo 132,19,Pozo 112,"483,856040107657","483,173371444926","25,6935921039921","336,427134191104",0,NO,0,Abierto
26211,Pozo 133-Pozo 112-22,Campo C,GAS,PAD-19,Pozo 133,22,Pozo 112,"769,191139379433","769,143042108885","8,60172513634142","341,087585485594",0,NO,0,Abierto
26212,Pozo 133-Pozo 112-24,Campo C,GAS,PAD-19,Pozo 133,24,Pozo 112,"616,908720918571","616,732096151087","-14,7611490905424","337,993036379991",0,NO,0,Abierto
26213,Pozo 405-Pozo 74-19,Campo F,OIL,PAD-60,Pozo 405,19,Pozo 74,"1230,12356800676","1229,98235105833","18,6389015424542","79,6549344326346",3,NO,0,Abierto
26214,Pozo 408-Pozo 74-2,Campo F,OIL,PAD-60,Pozo 408,2,Pozo 74,"851,840230104883","851,773674483492","-10,648243142924","68,3958117280379",2,NO,0,Abierto
26215,Pozo 407-Pozo 74-22,Campo F,OIL,PAD-60,Pozo 407,22,Pozo 74,"1076,17872846233","1076,07888620776","14,658999033722","60,0152157493606",3,NO,0,Abierto
26216,Pozo 405-Pozo 74-27,Campo F,OIL,PAD-60,Pozo 405,27,Pozo 74,"1455,08581622422","1455,06780090846","7,24067236797645","58,3564342035538",4,NO,0,Abierto
